corrida,qualidade,secao,sequencia,sequenciatotal,acoatual,al_min,c_min,c_max,n_min,s_min,corridasciclo,panela,vidapanela,temperaturaliquidus,temperaturaobjetivada,sugestaomodelolegado,temperaturasaidafp,tempociclo,temperaturamediareal
132228,F4A5E,300,5.0,8.0,V,0.01,0.35,0.37,0.01,0.045,6.0,7.0,32.0,1482.0,1532.0,1658.2442626953125,1659.0,1593.0,1537.0
132227,F4A5E,300,4.0,8.0,V,0.01,0.35,0.37,0.01,0.045,5.0,2.0,16.0,1482.0,1532.0,1658.7271728515625,1659.0,1364.0,1528.0
132226,F4A5E,300,3.0,8.0,V,0.01,0.35,0.37,0.01,0.045,4.0,4.0,50.0,1482.0,1532.0,1657.5343017578125,1659.0,954.0,1533.0
132225,F4A5E,300,2.0,8.0,V,0.01,0.35,0.37,0.01,0.045,5.0,14.0,38.0,1482.0,1532.0,1649.1761474609375,1652.0,1212.0,1546.0
132224,F4A5E,300,1.0,8.0,V,0.01,0.35,0.37,0.01,0.045,5.0,15.0,35.0,1482.0,1532.0,1661.008544921875,1664.0,1214.0,1534.0
132223,B7DF0,300,6.0,6.0,X,0.015,0.38,0.42,0.0,0.02,5.0,7.0,31.0,1486.0,1531.0,1645.6964111328125,1660.0,1220.0,1527.0
132222,28B54,300,5.0,6.0,B,0.01,0.32,0.35,0.0,0.015,4.0,2.0,15.0,1490.0,1535.0,1657.075439453125,1660.0,981.0,1546.0
132221,28B54,300,4.0,6.0,B,0.01,0.32,0.35,0.0,0.015,3.0,4.0,49.0,1490.0,1535.0,1653.8619384765625,1659.0,571.0,1545.0
132220,28B54,300,3.0,6.0,B,0.01,0.32,0.35,0.0,0.015,4.0,14.0,37.0,1490.0,1535.0,1656.2296142578125,1654.0,921.0,1531.0
132219,28B54,300,2.0,6.0,B,0.01,0.32,0.35,0.0,0.015,4.0,15.0,34.0,1490.0,1535.0,1656.8990478515625,1660.0,923.0,1532.0
132218,28B54,300,1.0,6.0,B,0.01,0.32,0.35,0.0,0.015,4.0,7.0,30.0,1490.0,1535.0,1676.5006103515625,1674.0,930.0,1540.0
132217,EB957,300,8.0,8.0,X,0.015,0.53,0.56,0.0,0.01,3.0,2.0,14.0,1486.0,1536.0,1663.450439453125,1665.0,703.0,1531.0
132216,EB957,300,7.0,8.0,X,0.015,0.53,0.56,0.0,0.01,2.0,4.0,48.0,1486.0,1536.0,1660.876708984375,1662.0,297.0,1542.0
132215,EB957,300,6.0,8.0,X,0.015,0.53,0.56,0.0,0.01,3.0,14.0,36.0,1486.0,1536.0,1658.3883056640625,1655.0,642.0,1545.0
132214,EB957,300,5.0,8.0,X,0.015,0.53,0.56,0.0,0.01,3.0,15.0,33.0,1486.0,1536.0,1661.8917236328125,1661.0,639.0,1544.0
132213,EB957,300,4.0,8.0,X,0.015,0.53,0.56,0.0,0.01,3.0,7.0,29.0,1486.0,1536.0,1666.6748046875,1667.0,630.0,1532.0
132212,EEE12,300,3.0,8.0,X,0.0,0.69,0.72,0.0,0.02,2.0,2.0,13.0,1475.0,1510.0,1637.3656005859375,1646.0,400.0,1519.0
132211,EEE12,300,2.0,8.0,X,0.0,0.69,0.72,0.0,0.02,1.0,4.0,47.0,1475.0,1510.0,1642.986572265625,1646.0,0.0,1522.0
132210,2737C,300,1.0,8.0,X,0.005,0.45,0.49,0.0,0.015,2.0,14.0,35.0,1480.0,1520.0,1645.331298828125,1646.0,341.0,1528.0
132209,3B7FC,300,6.0,6.0,X,0.005,0.46,0.5,0.0,0.015,2.0,15.0,32.0,1480.0,1525.0,1627.6376953125,1652.0,236.0,1533.0
132208,3B7FC,300,5.0,6.0,X,0.005,0.46,0.5,0.0,0.015,2.0,7.0,28.0,1480.0,1525.0,1633.618896484375,1633.0,234.0,1531.0
132207,A2DFA,300,4.0,6.0,X,0.005,0.43,0.5,0.0,0.0,1.0,2.0,12.0,1480.0,1525.0,1640.490234375,1637.0,0.0,1541.0
132206,A2DFA,300,3.0,6.0,X,0.005,0.43,0.5,0.0,0.0,1.0,14.0,34.0,1480.0,1525.0,1645.14990234375,1644.0,0.0,1533.0
132205,A2DFA,300,2.0,6.0,X,0.005,0.43,0.5,0.0,0.0,1.0,15.0,31.0,1480.0,1525.0,1646.4815673828125,1652.0,0.0,1542.0
132204,A2DFA,300,1.0,6.0,X,0.005,0.43,0.5,0.0,0.0,1.0,7.0,27.0,1480.0,1525.0,1670.95849609375,1673.0,0.0,1533.0
132203,4D097,300,9.0,9.0,X,0.015,0.51,0.55,0.0,0.01,11.0,2.0,11.0,1487.0,1527.0,1647.7042236328125,1649.0,2870.0,1534.0
132202,4D097,300,8.0,9.0,X,0.015,0.51,0.55,0.0,0.01,26.0,4.0,46.0,1487.0,1527.0,1642.4110107421875,1652.0,7232.0,1532.0
132201,4D097,300,7.0,9.0,X,0.015,0.51,0.55,0.0,0.01,27.0,14.0,33.0,1487.0,1527.0,1648.97119140625,1659.0,7458.0,1537.0
132200,4D097,300,6.0,10.0,X,0.015,0.51,0.55,0.0,0.01,26.0,15.0,30.0,1487.0,1527.0,1642.8408203125,1655.0,7189.0,1525.0
132199,4D097,300,5.0,10.0,X,0.015,0.51,0.55,0.0,0.01,26.0,7.0,26.0,1487.0,1527.0,1641.7730712890625,1649.0,7239.0,1530.0
